Channel,Tanggal,Jam Mulai,Jam Selesai,Judul Acara,Kategori,Deskripsi
HBO,Harian,00:00,02:45,Dune: Part Two,Film,Paul Atreides bersatu dengan Fremen untuk perang melawan House Harkonnen.
HBO,Harian,02:45,04:30,The Batman,Film,Batman mengungkap korupsi di Gotham saat memburu Riddler.
HBO,Harian,04:30,06:00,Succession S4 E3,Series,Keluarga Roy berebut kendali Waystar Royco.
HBO,Harian,06:00,08:00,The Super Mario Bros. Movie,Animasi,Mario dan Luigi bertualang di Mushroom Kingdom.
HBO,Harian,08:00,10:00,Wonka,Film,Kisah muda Willy Wonka merintis pabrik cokelat.
HBO,Harian,10:00,12:00,Aquaman and the Lost Kingdom,Film,Aquaman dan Orm bersatu melawan Black Manta.
HBO,Harian,12:00,14:00,Barbie,Film,Barbie pergi ke dunia nyata untuk menemukan jati diri.
HBO,Harian,14:00,16:30,Godzilla x Kong,Film,Dua titan bersatu melawan ancaman dari Hollow Earth.
HBO,Harian,16:30,18:00,Game of Thrones S1 E1,Series,Winter is Coming: awal perebutan Iron Throne.
HBO,Harian,18:00,19:00,The Last of Us S2 E1,Series,Joel dan Ellie menghadapi konflik baru di Jackson.
HBO,Harian,19:00,20:00,House of the Dragon S2 E1,Series,Perang saudara Targaryen memanas.
HBO,Harian,20:00,22:15,Deadpool & Wolverine,Film,Film pilihan utama malam ini.
HBO,Harian,22:15,24:00,Joker: Folie à Deux,Film,Arthur Fleck bertemu Harley Quinn di Arkham.
Cinemax,Harian,00:00,02:00,John Wick: Chapter 4,Film,John Wick melawan High Table di Osaka dan Paris.
Cinemax,Harian,02:00,04:00,Fast X,Film,Dom menghadapi dendam Dante Reyes.
Cinemax,Harian,04:00,06:00,The Equalizer 3,Film,Robert McCall beraksi di Italia Selatan.
Cinemax,Harian,06:00,08:00,The Meg 2,Film,Jonas Taylor melawan hiu raksasa di palung laut.
Cinemax,Harian,08:00,10:00,Extraction 2,Film,Tyler Rake menyelamatkan keluarga gangster Georgia.
Cinemax,Harian,10:00,12:00,Mission: Impossible - Dead Reckoning,Film,Ethan Hunt memburu senjata AI Entity.
Cinemax,Harian,12:00,14:00,Transformers: Rise of the Beasts,Film,Maximals dan Autobots melawan Unicron.
Cinemax,Harian,14:00,16:00,The Expendables 4,Film,Barney Ross dan tim melawan pedagang senjata.
Cinemax,Harian,16:00,18:00,The Beekeeper,Film,Mantan agen membalas sindikat penipuan.
Cinemax,Harian,18:00,20:00,Madame Web,Film,Cassandra Webb melihat masa depan dan melindungi tiga gadis.
Cinemax,Harian,20:00,22:00,John Wick: Chapter 4,Film,Film laga pilihan utama malam ini.
Cinemax,Harian,22:00,24:00,Argylle,Film,Penulis mata-mata terseret konspirasi sungguhan.
beIN Sports 1,Harian,00:00,02:00,LaLiga Highlights,Olahraga,Rangkuman gol dan momen terbaik LaLiga pekan ini.
beIN Sports 1,Harian,02:00,04:00, Ligue 1: PSG vs Marseille (Tunda),Olahraga,Tayangan ulang Le Classique.
beIN Sports 1,Harian,04:00,06:00,beIN Sports News,Berita,Kabar transfer dan hasil pertandingan semalam.
beIN Sports 1,Harian,06:00,08:00,Serie A Preview,Olahraga,Pratinjau giornata Serie A akhir pekan.
beIN Sports 1,Harian,08:00,10:00,UCL Magazine,Olahraga,Majalah Liga Champions: analisis dan wawancara.
beIN Sports 1,Harian,10:00,12:00,LaLiga: Real Madrid vs Sevilla (Tunda),Olahraga,Tayangan ulang Santiago Bernabeu.
beIN Sports 1,Harian,12:00,14:00,Sports Talk Indonesia,Talkshow,Diskusi sepak bola bersama pengamat.
beIN Sports 1,Harian,14:00,16:00,Serie A: Inter vs Juventus (Tunda),Olahraga,Derby d’Italia tayangan ulang.
beIN Sports 1,Harian,16:00,18:00,ATP Tennis Highlights,Olahraga,Sorotan turnamen tenis ATP pekan ini.
beIN Sports 1,Harian,18:00,20:00,Countdown to Kickoff,Olahraga,Bangun laga malam: statistik dan prediksi.
beIN Sports 1,Harian,20:00,22:00,LaLiga Big Match (Live Look-in),Olahraga,Laga pilihan LaLiga malam ini.
beIN Sports 1,Harian,22:00,24:00,The Football Review,Olahraga,Ulasan pertandingan malam ini.
SPOTV,Harian,00:00,02:00,MotoGP Highlights,Olahraga,Sorotan seri MotoGP terbaru.
SPOTV,Harian,02:00,04:00,BWF World Tour (Tunda),Olahraga,Tayangan ulang bulutangkis dunia.
SPOTV,Harian,04:00,06:00,SPOTV News,Berita,Kabar olahraga Asia dan dunia.
